userId,movieId,title,score
1,24,Powder (1995),1.0
1,25,Leaving Las Vegas (1995),1.0
1,26,Othello (1995),1.0
1,27,Now and Then (1995),1.0
1,28,Persuasion (1995),1.0
1,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1.0
1,31,Dangerous Minds (1995),1.0
1,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1.0
1,34,Babe (1995),1.0
1,36,Dead Man Walking (1995),1.0
2,1,Toy Story (1995),1.0
2,7301,Diary of a Country Priest (Journal d'un curé de campagne) (1951),1.0
2,7299,Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003),1.0
2,7297,Kitchen Stories (Salmer fra kjøkkenet) (2003),1.0
2,7294,Welcome to Mooseport (2004),1.0
2,7293,50 First Dates (2004),1.0
2,7292,Best Defense (1984),1.0
2,7285,Thirteen (2003),1.0
2,2,Jumanji (1995),1.0
2,3,Grumpier Old Men (1995),1.0
3,10,GoldenEye (1995),1.0
3,9,Sudden Death (1995),1.0
3,8,Tom and Huck (1995),1.0
3,6,Heat (1995),1.0
3,2,Jumanji (1995),1.0
3,50,"Usual Suspects, The (1995)",1.0
3,7236,"Boy and His Dog, A (1975)",1.0
3,7225,Pumping Iron (1977),1.0
3,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1.0
3,47,Seven (a.k.a. Se7en) (1995),1.0
4,7282,"Hip Hop Witch, Da (2000)",1.0
4,15,Cutthroat Island (1995),1.0
4,12,Dracula: Dead and Loving It (1995),1.0
4,22,Copycat (1995),1.0
4,7245,Tormented (1960),1.0
4,7235,Ichi the Killer (Koroshiya 1) (2001),1.0
4,7165,"Company, The (2003)",1.0
4,3273,Scream 3 (2000),1.0
4,67665,Anvil! The Story of Anvil (2008),1.0
4,3264,Buffy the Vampire Slayer (1992),1.0
5,1025,"Sword in the Stone, The (1963)",1.0
5,136355,Big Top Scooby-Doo! (2012),1.0
5,709,Oliver & Company (1988),1.0
5,49284,10 Items or Less (2006),1.0
5,149406,Kung Fu Panda 3 (2016),1.0
5,136353,Scooby-Doo! and the Loch Ness Monster (2004),1.0
5,136341,Scooby-Doo! and the Samurai Sword (2009),1.0
5,148978,Blue Exorcist: The Movie (2012),1.0
5,160848,The Red Turtle (2016),1.0
5,136297,Mortal Kombat: The Journey Begins (1995),1.0
6,146730,Lost in the Sun (2015),1.0
6,146662,Dragons: Gift of the Night Fury (2011),1.0
6,2393,Star Trek: Insurrection (1998),1.0
6,145935,"Peanuts Movie, The (2015)",1.0
6,5378,Star Wars: Episode II - Attack of the Clones (2002),1.0
6,5300,3:10 to Yuma (1957),1.0
6,1081,Victor/Victoria (1982),1.0
6,1066,Shall We Dance (1937),1.0
6,2412,Rocky V (1990),1.0
6,2411,Rocky IV (1985),1.0
7,7202,Beyond Re-Animator (2003),1.0
7,7245,Tormented (1960),1.0
7,12,Dracula: Dead and Loving It (1995),1.0
7,64010,"Children, The (2008)",1.0
7,63826,Splinter (2008),1.0
7,63436,Saw V (2008),1.0
7,61262,Mirrors (2008),1.0
7,60941,"Midnight Meat Train, The (2008)",1.0
7,64993,5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),1.0
7,60832,Pathology (2008),1.0
8,4789,Phantom of the Paradise (1974),1.0
8,36,Dead Man Walking (1995),1.0
8,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1.0
8,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1.0
8,8,Tom and Huck (1995),1.0
8,4794,Opera (1987),1.0
8,2561,True Crime (1999),1.0
8,4776,Training Day (2001),1.0
8,4766,"Our Lady of the Assassins (Virgen de los sicarios, La) (2000)",1.0
8,71205,Jennifer's Body (2009),1.0
9,103655,R.I.P.D. (2013),1.0
9,7,Sabrina (1995),1.0
9,5999,Heavy Metal 2000 (2000),1.0
9,113829,"One I Love, The (2014)",1.0
9,158882,All Yours (2016),1.0
9,5929,"Party 2, The (Boum 2, La) (1982)",1.0
9,5927,"Best Little Whorehouse in Texas, The (1982)",1.0
9,122902,Fantastic Four (2015),1.0
9,30810,"Life Aquatic with Steve Zissou, The (2004)",1.0
9,915,Sabrina (1954),1.0
10,7292,Best Defense (1984),1.0
10,15,Cutthroat Island (1995),1.0
10,3196,Stalag 17 (1953),1.0
10,7228,Cool World (1992),1.0
10,7215,To Have and Have Not (1944),1.0
10,3213,Batman: Mask of the Phantasm (1993),1.0
10,3287,"Tigger Movie, The (2000)",1.0
10,3342,Birdy (1984),1.0
10,3159,Fantasia 2000 (1999),1.0
10,3153,"7th Voyage of Sinbad, The (1958)",1.0
11,2,Jumanji (1995),1.0
11,7301,Diary of a Country Priest (Journal d'un curé de campagne) (1951),1.0
11,7299,Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003),1.0
11,7297,Kitchen Stories (Salmer fra kjøkkenet) (2003),1.0
11,4,Waiting to Exhale (1995),1.0
11,8,Tom and Huck (1995),1.0
11,25,Leaving Las Vegas (1995),1.0
11,26,Othello (1995),1.0
11,27,Now and Then (1995),1.0
11,28,Persuasion (1995),1.0
12,3,Grumpier Old Men (1995),1.0
12,4,Waiting to Exhale (1995),1.0
12,5,Father of the Bride Part II (1995),1.0
12,7297,Kitchen Stories (Salmer fra kjøkkenet) (2003),1.0
12,7294,Welcome to Mooseport (2004),1.0
12,7293,50 First Dates (2004),1.0
12,7292,Best Defense (1984),1.0
12,24,Powder (1995),1.0
