userId,movieId,rating
274,1,4.0
274,2,3.5
274,6,4.0
274,8,3.0
274,10,4.0
274,12,3.5
274,16,4.5
274,19,4.0
274,20,3.5
274,22,3.5
274,23,3.5
274,24,3.5
274,29,4.0
274,32,4.0
274,34,4.0
274,44,4.0
274,47,4.0
274,48,2.0
274,50,4.0
274,60,3.5
274,62,3.0
274,65,3.0
274,69,4.0
274,70,4.5
274,86,3.5
274,87,3.0
274,88,3.5
274,93,3.5
274,95,2.5
274,101,3.5
274,104,3.5
274,110,4.5
274,111,3.0
274,145,2.0
274,153,3.5
274,158,3.5
274,163,3.5
274,165,4.0
274,170,2.5
274,172,2.5
274,173,3.5
274,174,3.5
274,175,3.0
274,180,3.5
274,181,3.5
274,185,3.0
274,196,3.5
274,198,4.0
274,208,4.0
274,216,3.5
274,223,4.0
274,231,4.5
274,239,3.0
274,250,3.0
274,253,4.5
274,260,3.0
274,288,4.5
274,292,3.0
274,293,4.5
274,296,5.0
274,303,4.0
274,316,3.5
274,317,3.0
274,318,4.5
274,327,3.5
274,328,4.5
274,330,4.0
274,332,2.5
274,333,3.5
274,344,4.5
274,345,4.0
274,356,4.5
274,362,2.5
274,364,4.0
274,367,4.0
274,368,3.5
274,374,3.5
274,377,3.5
274,379,3.5
274,380,4.0
274,393,2.0
274,410,2.5
274,420,3.5
274,428,4.0
274,431,4.0
274,441,4.0
274,442,3.5
274,455,2.0
274,457,3.5
274,480,3.5
274,485,2.0
274,493,3.5
274,500,3.0
274,502,3.0
274,519,3.0
274,520,3.5
274,527,4.0
274,541,2.5
274,542,3.5
274,543,2.5
274,546,2.0
274,551,3.0
274,553,4.5
274,555,3.0
274,558,4.0
274,562,3.5
274,575,3.0
274,585,2.0
274,586,3.5
274,588,4.0
274,589,4.5
274,590,4.0
274,592,3.0
274,593,4.0
274,594,3.0
274,595,3.0
274,596,3.5
274,608,3.0
274,609,4.0
274,616,3.5
274,619,3.5
274,631,2.5
274,648,3.5
274,653,3.0
274,661,3.0
274,671,3.5
274,673,3.5
274,709,3.0
274,710,2.5
274,711,2.5
274,724,3.0
274,733,3.0
274,736,2.5
274,742,3.5
274,750,4.0
274,765,3.0
274,778,4.0
274,780,3.5
274,783,3.0
274,784,2.5
274,785,4.5
274,786,3.5
274,788,3.0
274,799,4.0
274,801,3.5
274,805,3.5
274,810,1.0
274,818,2.0
274,832,3.5
274,837,3.5
274,840,3.5
274,842,3.5
274,849,4.0
274,858,3.5
274,881,2.0
274,886,3.0
274,904,3.0
274,908,3.5
274,912,3.5
274,919,3.5
274,922,3.5
274,923,3.0
274,924,2.5
274,968,3.0
274,1005,3.5
274,1007,2.0
274,1015,3.5
274,1021,3.5
274,1022,2.5
274,1023,3.5
274,1025,3.5
274,1027,2.0
274,1029,3.5
274,1031,4.0
274,1032,3.5
274,1033,3.5
274,1036,4.0
274,1073,3.5
274,1079,4.0
274,1080,3.5
274,1089,4.5
274,1090,4.0
274,1091,3.0
274,1093,3.5
274,1129,3.5
274,1136,3.5
274,1175,4.0
274,1193,4.5
274,1196,4.5
274,1197,4.0
274,1198,4.0
274,1199,3.0
274,1200,4.0
274,1201,3.0
274,1203,3.5
274,1206,4.5
274,1208,4.0
274,1209,4.0
274,1210,4.0
274,1213,4.0
274,1214,4.0
274,1215,4.5
274,1218,4.0
274,1219,4.0
274,1221,3.5
274,1222,4.0
274,1228,3.5
274,1235,4.5
274,1240,4.0
274,1241,3.5
274,1253,4.0
274,1255,3.5
274,1258,4.5
274,1259,3.5
274,1261,4.5
274,1265,4.5
274,1266,3.5
274,1270,3.5
274,1272,3.5
274,1274,4.0
274,1276,3.5
274,1278,4.0
274,1282,3.5
274,1288,3.0
274,1291,3.5
274,1293,2.5
274,1298,3.5
274,1304,4.0
274,1320,3.5
274,1321,3.5
274,1327,3.0
274,1343,3.5
274,1345,3.5
274,1347,3.5
274,1350,3.5
274,1359,3.5
274,1367,3.5
274,1370,3.5
274,1377,2.5
274,1378,3.0
274,1380,2.5
